2026-06-17T11:19:00 | INFO     | s1.build | [OK] #54 Cognitive Psychology A Student’s Handbook.pdf (chunk 54) | 7,784 tokens | cumulative 403,514
2026-06-17T11:19:08 | INFO     | s1.build | [OK] #55 Cognitive Psychology A Student’s Handbook.pdf (chunk 55) | 7,028 tokens | cumulative 410,542
2026-06-17T11:19:29 | INFO     | s1.build | [OK] #56 The Recursive Mind.pdf (chunk 0) | 1,616 tokens | cumulative 412,158
2026-06-17T11:19:36 | INFO     | s1.build | [OK] #57 The Recursive Mind.pdf (chunk 1) | 2,707 tokens | cumulative 414,865
2026-06-17T11:19:43 | INFO     | s1.build | [OK] #58 The Recursive Mind.pdf (chunk 2) | 3,959 tokens | cumulative 418,824
2026-06-17T11:19:50 | INFO     | s1.build | [OK] #59 The Recursive Mind.pdf (chunk 3) | 3,454 tokens | cumulative 422,278
2026-06-17T11:19:57 | INFO     | s1.build | [OK] #60 The Recursive Mind.pdf (chunk 4) | 4,248 tokens | cumulative 426,526
2026-06-17T11:20:03 | INFO     | s1.build | [OK] #61 The Recursive Mind.pdf (chunk 5) | 4,377 tokens | cumulative 430,903
2026-06-17T11:22:18 | INFO     | s1.build | [START] Docling pipeline | 1 workers | GPUs [0]
2026-06-17T11:26:02 | INFO     | s1.build | [START] Docling pipeline | 1 workers | GPUs [0]
2026-06-17T11:26:35 | INFO     | s1.build | [START] Docling pipeline | 1 workers | GPUs [0]
2026-06-17T11:26:55 | INFO     | s1.build | [OK] #0 Cognitive Psychology A Student’s Handbook.pdf (chunk 0) | 2,703 tokens | cumulative 2,703
2026-06-17T11:27:02 | INFO     | s1.build | [OK] #1 Cognitive Psychology A Student’s Handbook.pdf (chunk 1) | 4,466 tokens | cumulative 7,169
2026-06-17T11:27:10 | INFO     | s1.build | [OK] #2 Cognitive Psychology A Student’s Handbook.pdf (chunk 2) | 6,236 tokens | cumulative 13,405
2026-06-17T11:27:18 | INFO     | s1.build | [OK] #3 Cognitive Psychology A Student’s Handbook.pdf (chunk 3) | 7,562 tokens | cumulative 20,967
2026-06-17T11:27:25 | INFO     | s1.build | [OK] #4 Cognitive Psychology A Student’s Handbook.pdf (chunk 4) | 7,159 tokens | cumulative 28,126
2026-06-17T11:27:33 | INFO     | s1.build | [OK] #5 Cognitive Psychology A Student’s Handbook.pdf (chunk 5) | 4,751 tokens | cumulative 32,877
2026-06-17T11:27:53 | INFO     | s1.build | [OK] #6 Cognitive Psychology A Student’s Handbook.pdf (chunk 6) | 5,426 tokens | cumulative 38,303
